Code,Name,Category,Price,Stock,Unit,Description
P0001,Galletas de avena 5g,Panadería,10558.87,297,litro,"Galletas de avena 5g de alta calidad, categoría panadería."
P0002,Leche condensada 329g,Lácteos,18900.99,172,kg,"Leche condensada 329g de alta calidad, categoría lácteos."
P0003,Pan integral 378g,Panadería,15616.8,94,kg,"Pan integral 378g de alta calidad, categoría panadería."
P0004,Coliflor 339g,Verduras,10423.66,47,paquete,"Coliflor 339g de alta calidad, categoría verduras."
P0005,Pasta dental 350g,Cuidado personal,2599.92,261,paquete,"Pasta dental 350g de alta calidad, categoría cuidado personal."
P0006,Pan integral 113g,Panadería,15198.1,234,unidad,"Pan integral 113g de alta calidad, categoría panadería."
P0007,Queso fresco 141g,Lácteos,12251.08,256,unidad,"Queso fresco 141g de alta calidad, categoría lácteos."
P0008,Atún en lata 326g,Abarrotes,12584.34,109,unidad,"Atún en lata 326g de alta calidad, categoría abarrotes."
P0009,Tomate 143g,Verduras,3276.32,25,litro,"Tomate 143g de alta calidad, categoría verduras."
P0010,Crema facial 79g,Cuidado personal,8695.71,229,kg,"Crema facial 79g de alta calidad, categoría cuidado personal."
P0011,Paletas de frutas 93g,Congelado,5489.73,283,paquete,"Paletas de frutas 93g de alta calidad, categoría congelado."
P0012,Bebida energética 57g,Bebidas,5874.28,142,kg,"Bebida energética 57g de alta calidad, categoría bebidas."
P0013,Pan baguette 203g,Panadería,3066.09,204,unidad,"Pan baguette 203g de alta calidad, categoría panadería."
P0014,Apio 104g,Verduras,2625.44,228,kg,"Apio 104g de alta calidad, categoría verduras."
P0015,Jabón en barra 102g,Limpieza,13818.04,74,paquete,"Jabón en barra 102g de alta calidad, categoría limpieza."
P0016,Banano 44g,Frutas,1280.85,290,kg,"Banano 44g de alta calidad, categoría frutas."
P0017,Aceite vegetal 199g,Abarrotes,4516.18,29,kg,"Aceite vegetal 199g de alta calidad, categoría abarrotes."
P0018,Jabón líquido 154g,Cuidado personal,10296.59,46,litro,"Jabón líquido 154g de alta calidad, categoría cuidado personal."
P0019,Apio 233g,Verduras,1892.85,186,unidad,"Apio 233g de alta calidad, categoría verduras."
P0020,Manzana 458g,Frutas,15094.7,277,paquete,"Manzana 458g de alta calidad, categoría frutas."
P0021,Tocino ahumado 29g,Carnes,8433.71,13,kg,"Tocino ahumado 29g de alta calidad, categoría carnes."
P0022,Jugo de piña 212g,Bebidas,3788.83,36,litro,"Jugo de piña 212g de alta calidad, categoría bebidas."
P0023,Cepillo dental 23g,Cuidado personal,10625.15,126,kg,"Cepillo dental 23g de alta calidad, categoría cuidado personal."
P0024,Jabón en barra 269g,Limpieza,2522.15,167,litro,"Jabón en barra 269g de alta calidad, categoría limpieza."
P0025,Sal yodada 158g,Abarrotes,13505.2,187,litro,"Sal yodada 158g de alta calidad, categoría abarrotes."
P0026,Leche deslactosada 5g,Lácteos,9340.84,273,kg,"Leche deslactosada 5g de alta calidad, categoría lácteos."
P0027,Refresco de limón 366g,Bebidas,6131.22,67,kg,"Refresco de limón 366g de alta calidad, categoría bebidas."
P0028,Sal yodada 345g,Abarrotes,13709.04,145,paquete,"Sal yodada 345g de alta calidad, categoría abarrotes."
P0029,Donas glaseadas 334g,Panadería,11835.81,66,unidad,"Donas glaseadas 334g de alta calidad, categoría panadería."
P0030,Cloro 77g,Limpieza,18109.48,254,kg,"Cloro 77g de alta calidad, categoría limpieza."
P0031,Pan integral 205g,Panadería,3903.15,171,unidad,"Pan integral 205g de alta calidad, categoría panadería."
P0032,Chuleta de cerdo 243g,Carnes,18075.8,212,unidad,"Chuleta de cerdo 243g de alta calidad, categoría carnes."
P0033,Toallas húmedas 290g,Cuidado personal,18565.85,68,unidad,"Toallas húmedas 290g de alta calidad, categoría cuidado personal."
P0034,Bollos dulces 9g,Panadería,10324.36,76,paquete,"Bollos dulces 9g de alta calidad, categoría panadería."
P0035,Banano 92g,Frutas,6815.54,249,unidad,"Banano 92g de alta calidad, categoría frutas."
P0036,Lomo de res 93g,Carnes,16257.15,92,paquete,"Lomo de res 93g de alta calidad, categoría carnes."
P0037,Yogur natural 464g,Lácteos,15264.55,38,paquete,"Yogur natural 464g de alta calidad, categoría lácteos."
